PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,HDD658   ,CDD658   ,MFUSED8  ,MFBTU8   ,MFEXP8   ,ELCNS8   ,ELBTU8   ,ELEXP8   ,ZELCNS8  ,ZELEXP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2571,3,5,11000,4,3,13,1,2,2,2,2,2,2314.83,25,1,2173,2079,1,331012,9535,97014,331012,9535,0,0
2572,3,7,3500,2,2,25,1,2,2,1,2,2,2314.83,32,1,3442,1381,1,53848,1246,15782,53848,1246,1,1
2573,3,6,800000,9,5,24,1,1,2, ,2,2,26.57,29,2,4207,1043,1,50667119,698738,13559362,46264543,645349,1,1
2574,4,9,6500,3,4,13,1,1,2,2,2,2,950.84,59,2,1169,1114,1,2046069,24153,69483,237076,10843,1,1
2576,3,7,42500,5,6,23,1,1,2, ,2,2,192.72,49,1,1445,3167,1,5824581,124361,1519289,5183814,119200,1,1
2577,3,5,73000,6,6,14,1,1,1,2,1,2,170.67,23,2,3923,1167,1,9852736,122602,1470389,5016967,65530,0,0
2578,1,2,7000,3,5,13,1,1,2,2,2,2,2739.65,4,2,6006,584,1,740556,16299,75539,257739,12038,1,1
2579,3,5,2600,2,5,15,1,2,2,2,2,2,1446.07,23,2,3918,1203,1,1088745,24063,319093,1088745,24063,1,1
2580,2,4,16000,4,2,26,1,1,2,2,2,2,864.37,20,2,4114,1720,1,1924624,24458,278586,950535,17054,0,0
2582,3,5,22250,4,7,26,1,1,2,2,2,2,808.04,21,2,4856,1192,1,2627433,46022,470970,1606950,38059,0,0
2583,1,2,6500,3,5,25,1,1,2,2,2,2,365.45,7,1,6010,654,1,559420,9038,77204,263420,6452,0,0
2584,3,7,4900,2,5,2,1,1,2,2,2,2,734.43,32,2,3003,2135,1,931278,12915,129714,442584,8415,1,1
2585,3,7,110000,7,7,23,1,1,2, ,2,2,72.27,49,1,1439,3097,1,9404568,208897,2697217,9202904,206893,1,1
2586,4,9,700000,9,5,2,1,1,1,2,2,2,89.9,42,2,2308,235,1,49282701,1655881,10204290,34817037,1546254,0,0
2587,3,5,106000,7,3,16,1,1,1,1,2,2,1446.07,25,2,2804,1647,1,20762521,260369,2479063,8458563,160364,1,0
2588,3,5,9000,3,7,23,1,1,2, ,2,2,2546.83,21,2,5489,839,1,1558350,27543,308482,1052541,21817,1,1
